Partner Name,Category,Offers Free Services(yes/no),Services & Discounts(%),Address,City,Pincode,Pincodes Served,SPOC,Contact Number,Contact Email,2nd SPOC,Contact Number
Sanjeevni Hospital,Hospital,No,"IPD: 40%
OPD Procedures: 20%
OPD: 25%","2nd Floor, Western Business Park, Opp S.D Jain School Vesu Char Rasta, Udhana - Magdalla Rd, Surat, Gujarat 395007",Surat,,,Dr. Jenil Gandhi,96876 05950,,Jignesh,99247 62847,
Bankers Hospital,Hospital,No,"IPD: 20%
OPD Procedures: 20%
OPD: 25%","Floral, SK Park Rd, Umra Gam, Athwa, Surat, Gujarat 395007",Surat,,,,,,Dr. Ronak,88665 77390,
Maitreya Multi Superspeciality Hospital,Hospital,No,"IPD: 20%
OPD Procedures: 20%
OPD: 25%","Opp Harley Davidson show room, Someshwar Circle, Udhana - Magdalla Rd, Vesu, Surat, Gujarat 395007",Surat,,,Parimal,98255 38396,,Pranav Thakkar,99252 42020,
Apple Hospital,Hospital,No,"IPD: 20%
OPD Procedures: 20%
OPD: 25%","Udhna Darwaja, Ring Rd, beside Passport Office, Udhana Darwaja, Aman Nagar, Surat, Gujarat 395002",Surat,,,Arif,98982 69028,,Ronika,84900 72519,
Prannath Hospital,Hospital,No,"IPD: 20%
OPD Procedures: 20%
OPD: 25%","Prannath Society, Katargam, Surat, Gujarat 395004",Surat,,,Reshma,,,,,
Tulip Health Check,Hospital,No,20% in packages,"B/S CROMA TULIP HEALTH CENTER, NR. ST. XAVIER'S SCHOOL, Ghod Dod Rd, Ram Chowk, Surat, Gujarat 395001",Surat,,,Chetan,98989 43561,,Rishin,80006 02588,
ASG Eye Hospital,Hospital,No,"Consultation: 100
IPD: 10%","Plot No 1 & 2 Jash Bryant, opp. RTO, beside Vanita vishram Ground, Athwa Gate, Surat, Gujarat 395001",Surat,,,Noor Mohammad,88668 84066,,,,
Eye Q Hospital,Eye,No,"Consultation: 100
IPD: 10%","Eye-Q hospital parlepoint 3rd Floor, SNS House, Above TBZ Showroom Near Court Building, Parle Point, Athwalines, Surat, Gujarat 395007",Surat,,,Sweta,,,,,
Manav Dental Care,Dental,No,Variable,,Surat,,,Manav Shah,8238624142,,Jayshree Shah,9898037131,
Metas Hospital,Hospital,No,"IPD: 10%
OPD Procedures: 20%
OPD: 25%",,Surat,,,Binoy Sebastian,9574002121,,,,
Desai Endocrine Clinic,Hospital,No,OPD : 30%,"3rd Floor, accron trade centre, Bamroli Rd, near new SIDS hospital, off civil chaar rasta, New Opera House, Khatodra Wadi, Surat, Gujarat 395002",Surat,,,Anil Desai,99752 01891,,Piyush Desai,,
PP Maniya Hospital,Hospital,No,"IPD: 10%
OPD Procedures: 20%
OPD: 0%","12, Mamata Park Society-1, Kapodra Patiya, Surat, Gujarat 395006",Surat,,,Jignesh,99137 87679,,,,
Holistica World,Hospital,No,"IPD: 0%
OPD Procedures: 20%
OPD: 20%","415 Atlanta Shoppers, Vesu Main Road, Vesu, Gujarat 395007",Surat,,,Dharmesh Shah,9898123839,,Manav Shah,8238624142,
Asutosh Multispeciality Hospital,Hospital,No,"IPD: 20%
OPD Procedures: 20%
OPD: 25%","Hanuman Temple, Rajashri Hall, Road, beside Kshetrapal Dada Marg, Garden Colony, Majura Gate, Surat, Gujarat 395002",Surat,,,,,,,,
Universal Hospital,Hospital,No,"IPD: 20%
OPD Procedures: 20%
OPD: 20%",,Surat,,,Rajesh,,,,,
Radiaance Dentistry,Dental,No,Variable,"518 Western Business Park, Vesu, Surat",Surat,,,Dr. Ruchi,,,,,
Summirow Dental Clinic,Dental,No,Variable,"604- 6th floor Western Vesu Point opp S.B.I Bank, Vesu char rasta, Vesu, next to Reliance Market, Surat, Gujarat 395007",Surat,,,Kaushal Kakkad,97262 67676,,,,
Gujarat Gastro & Vascular Hospital,Hospital,No,"IPD: 20%
OPD Procedures: 20%
OPD: 50%","Oppsite, Shree Ram Petrol Pump, Anand Mahal Rd, Opposite Shree Ram Petrol Pump, Girinagar Society, Muktanand Nagar, Adajan, Surat, Gujarat 395009",Surat,,,Amit,80007 15193,,Dr. Saumin Shah,9979887990,
GreenLeaf Hospital,Hospital,No,"IPD: 15%
OPD Procedures: 20%
OPD: 25%","2nd, 3rd & 4th Floor, Western Vesu, Point Char Rasta, Vesu, Surat, Gujarat 395007",Surat,,,Dr. Dinesh,84540 11577,,,
Golden Care Hospital,Hospital,No,"IPD: 15%
OPD Procedures: 20%
OPD: 25%","City Light Rd, opposite Science Center, City Light Town, Athwa, Surat, Gujarat 395007",Surat,,,Dr. Dinesh,84540 11577,,,
